content,id,logo,unTappdAverageRating,unTappdRatings,volume assumed,Type,Town,County,Founded,Defunct,website,URL,Field 17,Count of Brews,StdDvABV,Avg ABV,IpAs,Count of Types,ICBI Member,phone,distributor/rep,distributor-rep,distributorOrrep,jurisdiction,FT_employees,PT_employees,output_2018,output_2017,output_2016,output_2015,output_2014,output_2013,output_2012,output_2011,output_2010,output_2009,tours,Naming Origin,SuccessorBrewery,twitterH,foundedMonth,foundedDay,defunctDay,defunctMonth,defunctYear,start,end,PlaceNamed,MythNamed,BrewerFounderNAmed,PhysicalBreweryClosed,PhysicalBreweryOpened,Farmbased,Operating,ExportPercent?,OnFarmSupply,SourceofFoundFunding,Lagers,Source,NodeID,YearsinBusiness,GrowOwnHops,GrowOwnBarley,HasTaproom,OffersTours,output_2019,output_2020,output_2021,output_2022,BrewedElsewhere,Count of Colabs,town,lon,lat,geo,
Boundary Brewing Coop,boundary,https://irishcraftbrewing.com/pics/logos/boundaryLogo.jpeg,3.72,160330,24896,Microbrewery,"Portview Trade Centre, Belfast",Antrim,01/01/2015,,,https://boundarybrewing.coop,,296,2.147216863,6.130138408,"American Pale Ale
Export Stout
India Session Ale
India Session Ale
American IPA
Saison Ale
American IPA
Saison Ale
Porter
Sour Ale
American IPA
Porter
Herbed Beer
Imperial Stout
Saison Ale
Imperial Stout
Saison Ale
Imperial India Pale Ale
Berliner Weisse
Imperial India Pale Ale
Saison Ale
Sour Ale
Saison Ale
Export Stout
Zwickelbier
American Pale Ale
Saison Ale
Black India Ale
Imperial Stout
Imperial Stout
Imperial India Pale Ale
Imperial India Pale Ale
American IPA
Czech Pilsner
American IPA
American IPA
Irish Dry Stout
Saison Ale
Saison Ale
Sour Ale
Imperial India Pale Ale
Saison Ale
Sour Ale
Saison Ale
Imperial Stout
Berliner Weisse
Berliner Weisse
American IPA
India Session Ale
Berliner Weisse
Imperial Double Pale Ale
Berliner Weisse
Berliner Weisse
Berliner Weisse
Berliner Weisse
Berliner Weisse
Berliner Weisse
Belgian Strong Golden Ale
Belgian Pale Ale
English India Pale Ale
Table Beer
Gose
Berliner Weisse
Sour Ale
Double IPA
Belgian Dubbel
Saison Ale
Saison Ale
Saison Ale
Saison Ale
Saison Ale
Saison Ale
Belgian Dubbel
Saison Ale
Saison Ale
Porter
Porter
New England IPA
Imperial Stout
Imperial Stout
Irish Dry Stout
Imperial Stout
Saison Ale
Saison Ale
American IPA
Saison Ale
Saison Ale
Saison Ale
Stout Other
American Stout
Imperial Stout
Porter
International IPA
International Pale Ale
Imperial India Pale Ale
White IPA
International Pale Ale
International IPA
International IPA
American IPA
American IPA
American IPA
International IPA
International IPA
American IPA
India Session Ale
Black Cascadian Ale
India Session Ale
International IPA
Sour Ale
International IPA
American IPA
American IPA
International IPA
American IPA
Saison Ale
Festbier
Belgian Quad
Session IPA
Stout Other
American Pale Ale
Imperial Stout
Vienna Lager
American IPA
American IPA
Berliner Weisse
Berliner Weisse
American IPA
Witbier
Saison Ale
Saison Ale
Saison Ale
Saison Ale
American IPA
Session IPA
American IPA
Rye IPA
Doppelbock
Double IPA
Baltic Porter
Imperial Oatmeal Stout
Berliner Weisse
American IPA
German Pilsner
India Session Ale
Saison Ale
Double IPA
India Session Ale
German Pilsner
Triple IPA
Imperial Stout
Double IPA
New England DIPA
India Session Ale
American IPA
India Session Ale
India Session Ale
Kolsch Lager
New England Pale Ale
Double IPA
International Pale Ale
Farmhouse Ale
American Pale Ale
Double IPA
Double Milkshake IPA
Double IPA
American IPA
Double IPA
New England IPA
American IPA
Imperial Double Stout
Black Cascadian Ale
American IPA
Farmhouse Ale
Farmhouse Ale
Farmhouse Ale
Sour Ale
Table Beer
International IPA
Helles Lager
Double IPA
American IPA
Imperial Double Stout
New England IPA
Table Beer
American Pale Ale
American IPA
Triple IPA
Double IPA
Rye Beer
American IPA
American IPA
American IPA
Double IPA
Double IPA
International Pale Ale
Schwartzbier
Porter
American IPA
American Pale Ale
International Pale Ale
New England Pale Ale
Berliner Weisse
American IPA
Double IPA
Berliner Weisse
India Session Ale
Imperial Stout
American Pale Ale
Helles Lager
Double IPA
International IPA
Imperial Stout
Double IPA
Berliner Weisse
Double IPA
Imperial Stout
American IPA
American Pale Ale
American IPA
Triple IPA
Kolsch Lager
Imperial Stout
Imperial Stout
Imperial Stout
English Barleywine
American Pale Ale
Farmhouse Ale
American Lager
Double IPA
International IPA
New England Pale Ale
Double IPA
Export Stout
Helles Lager
Belgian Pale Ale
Oatmeal Stout
English Pale Ale
Triple IPA
American Pale Ale
Vienna Lager
International IPA
Double IPA
English Pale Ale
Pilsner
Berliner Weisse
International IPA
American Pale Ale
English Pale Ale
Double IPA
New England Pale Ale
Pilsner
Pilsner
English Pale Ale
American Pale Ale
Wheat Beer
Double IPA
Pilsner
Triple IPA
English India Pale Ale
American Pale Ale
Pilsner
American IPA
Double Brown Ale
International Pale Ale
Pilsner
American IPA
Double IPA
Imperial Black Ale
Double IPA
American IPA
Sour IPA
Imperial Stout
English Barleywine
German Pilsner
Table Beer
Double IPA
American IPA
American Pale Ale
Imperial Stout
Milkshake IPA
Imperial Stout
Belgian Quad
International IPA
Imperial Stout
Double IPA
International IPA
American IPA
New England IPA
New England IPA
New England IPA
Session IPA
Pale Lager
New England Pale Ale
Pale Lager
New England IPA",1,,,,,Nelson Sauvin,UK,,,,,,,,,,,,,,,,,1,1,,,,2015-1-1,2025-01-16,,,,,,,Yes,,,,62,,24,6.44,,,,,,,,,,19,"Portview Trade Centre, Belfast",-5.894464275,54.59855735,54.59855735,
Brehon Brewhouse,brehon,https://irishcraftbrewing.com/pics/logos/brehonLogo.jpeg,3.53,44031,6115,Microbrewery,Dunelty,Monaghan,01/04/2014,,,https://brehonbrewhouse.ie/,,43,2.045081613,5.904651163,"India Pale Ale
Blonde Ale
Irish Red Ale
Oatmeal Stout
Imperial Porter
Oatmeal Stout
English Pale Ale
Irish Red Ale
India Session Ale
Porter
Imperial Stout
Porter
American Pale Ale
Blonde Ale
Blonde Ale
Imperial Russian Stout
American Pale Ale
English Pale Ale
Milk Stout
Farmhouse Ale
Barleywine
English India Pale Ale
International Pale Ale
Export Stout
Irish Dry Stout
Malt Beer
Porter
Oatmeal Stout
Irish Red Ale
American IPA
Blonde Ale
American Pale Ale
Blonde Ale
Irish Red Ale
International IPA
Oatmeal Stout
Double Porter
Session IPA
Imperial Stout
Porter
Fruited Sour
Double IPA
Imperial Russian Stout",1,,,,,Barry & Fitzwilliam,ROI,3,3,,,,,,,,,,,Yes,Brehon comes from Brehon Law in ancient times when every village had a brewery - authenticity/craft - no paddywhackery,,@BrehonBlonde,4,1,,,,2014-4-1,2025-01-17,,1,,,,Yes,Yes,,Yes,Monaghan Enterprise Grant,26,,26,7.2,,,With Tour,Yes,,,,,,0,Dunelty,-6.636605,53.980268,53.98026866,
Brew Brothers,brewbrothers,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.65,10,6,Microbrewery,"Craig Carraig, Ballytegan Rd, Gorey, Wexford Y25T8N8",Wexford,01/04/2020,,,http://brewbrothers.ie,,4,0.711805217,5.4,"Irish Dry Stout
International Pale Ale
Irish Red Ale
Dark Ale",1,,,,,Four Corners,ROI,,,,,,,,,,,,,,,,,4,1,,,,2020-4-1,2025-01-18,,,,,,,Yes,,,,4,,,1.78,,,,,,,,,,0,"Craig Carraig, Ballytegan Rd, Gorey, Wexford Y25T8N8",-6.286829,52.688616,52.68861663,
Bridewell Brewery,bridewell,https://irishcraftbrewing.com/pics/logos/bridewellLogo.jpeg,3.49,1588,292,Microbrewery,Clifden,Galway,01/01/2016,,,https://www.bridewellbrewery.ie/,,6,0.408656335,4.75,"Blonde Ale
Irish Red Ale
Dark Ale
Kolsch Lager
Golden Ale
American Brown Ale",1,Yes,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,2016-1-1,2025-01-19,1,,,,,,Yes,,,,6,,29,5.44,,,,,,,,,,0,Clifden,-10.0202388,53.4891345,53.48913451,
Bullhouse Brewing Company,bullhouse,https://irishcraftbrewing.com/pics/logos/bullhouseLogo.jpeg,3.66,28553,5249,Microbrewery,"23 Balmoral Road, Belfast Co. Antrim",Down,01/01/2016,,,https://bullhousebrewco.com/,,94,1.469436714,5.502021277,"India Session Ale
Saison Ale
Imperial Stout
Porter
Porter
American Pale Ale
Berliner Weisse
Porter
New England IPA
Biere de Garde
New England IPA
Irish Red Ale
New England IPA
Porter
New England IPA
Pale Lager
Porter
Imperial Stout
Gose
Porter
American IPA
International IPA
Porter
New England IPA
Milkshake IPA
Double IPA
Barleywine
New England IPA
American Pale Ale
Porter
New England IPA
India Session Ale
English India Pale Ale
India Session Ale
New England Pale Ale
American Pale Ale
New England IPA
Witbier
International Pale Ale
Berliner Weisse
Imperial Double Stout
India Session Ale
Sour Ale
Oatmeal Stout
Gose
Bock
Sour Ale
New England IPA
American Pale Ale
American IPA
New England IPA
Fruited Sour
Fruited Sour
Milk Stout
Sour Ale
Milkshake IPA
New England IPA
Pale Lager
New England Pale Ale
Irish Dry Stout
International Pale Ale
Imperial Stout
Double IPA
New England Pale Ale
New England IPA
Fruit Beer
International Pale Ale
Double IPA
International Pale Ale
Fruited Sour
Fruited Sour
Fruited Sour
American Imperial Double Stout
New England IPA
New England Pale Ale
American Pale Ale
New England IPA
New England IPA
Black Cascadian Ale
Session IPA
New England IPA
Table Beer
English Pale Ale
Double IPA
American Pale Ale
Sour IPA
Double IPA
Double IPA
American Pale Ale
Double IPA
New England Pale Ale
Stout Other
Irish Dry Stout
Coffee Stout",1,,075 62702525,,,Nelson Sauvin,UK,,,,,,,,,,,,,Yes,Located in the bull pen on a family farm near Newtownards,,@bullhousebeer,1,1,,,,2016-1-1,2025-01-20,,,,,,Yes,Yes,,,,37,,33,5.44,,,No,,,,,,,1,"23 Balmoral Road, Belfast Co. Antrim",-5.961231671,54.57404385,54.57404385,
Bulmers Ireland,bulmers,https://irishcraftbrewing.com/pics/logos/bulmersLogo.jpeg,3.24,17726,205,Macrobrewery,Clonmel,Tipperary,01/01/1935,,,https://bulmers.ie,,5,0.408656335,4.32,"Euro Lager
Irish Red Ale
English Mild Ale
Helles Lager
Pilsner",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,1935-1-1,2025-01-21,,,,,,,Yes,,,,5,,35,86.5,,,,,,,,,,0,Clonmel,-7.6902551,52.3558172,52.35581728,
Burren Brewery,burren,https://irishcraftbrewing.com/pics/logos/burrenLogo.jpeg,3.68,1527,146,Microbrewery,Lisdoonvarna,Clare,01/01/2011,,,https://www.instagram.com/burren_brewery/?hl=en,,9,1.162325256,3.95,"Irish Dry Stout
Irish Red Ale
Lager
Stout Other 
Gruit
Gruit
Old Ale
Gruit
Traditional Ale",1,,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,,,,2011-1-1,2025-01-22,1,,,,,,Yes,,,,6,,34,10.45,,,Pub License,Yes,,,,,,0,Lisdoonvarna,-9.2897106,53.0301669,53.03016699,
Canvas Brewery,canvas,https://irishcraftbrewing.com/pics/logos/canvasLogo.jpeg,3.6,916,266,Microbrewery,Fortmoy,Tipperary,01/01/2018,,,https://www.canvasbrewery.com/,,53,1.555070362,5.858490566,"Imperial Red Ale
Belgian Pale Ale
India Session Ale
Witbier
Imperial Oatmeal Stout
Imperial Double Pale Ale
Export Stout
American Red Ale
Fruit Beer
Belgian Quad
Brown Ale
Saison Ale
Golden Ale
Belgian Strong Golden Ale
Irish Red Ale
Red Ale
Amber Ale
Smoked Beer
India Session Ale
Double IPA
India Session Ale
Farmhouse Ale
Farmhouse Ale
International Pale Ale
Vienna Lager
Farmhouse Ale
Milk Stout
Vienna Lager
International Pale Ale
Farmhouse Ale
Flanders Red Ale
Export Stout
Smoked Beer
Brett Beer
Flanders Red Ale
Brett Beer
Red IPA
Milk Stout
Sour Ale
Flanders Red Ale
Grätzer
Farmhouse Ale
Wheat Beer
Brett Beer
Ginger Beer
Blonde Ale
Red IPA
International IPA
Flanders Red Ale
Red IPA
Belgian Strong Dark Ale
Red IPA
American Pale Ale",1,,,,,,ROI,,,,,,,,,,,,,,Canvas refers to the creation of a blank canvas to allow for creativity and community,,@CanvasBeer,1,1,,,,2018-1-1,2025-01-23,,,,,,Yes,Yes,,,,34,,169,3.44,,,,,,,,,,0,Fortmoy,-8.112704505,53.07000807,53.07000807,
Carlingford Brewing Company,carlingford,https://irishcraftbrewing.com/pics/logos/carlingfordLogo.jpeg,3.45,865,134,Microbrewery,Carlingford,Louth,01/01/2015,,,https://carlingfordbrewing.ie/,,12,1.130131395,4.958333333,"Irish Red Ale
Belgian Blonde
Pale Ale
Milk Stout
Irish Red Ale
Brown Ale
American Pale Ale
American IPA
Euro Lager
Brown Ale
India Session Ale
India Session Ale",1,,,,,,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,2015-1-1,2025-01-24,1,,,,,,Yes,,,,10,,36,6.44,,,Pub License,Yes,,,,,,0,Carlingford,-6.190181,54.0468677,54.04686776,
Carlow Brewing Company,carlow,https://irishcraftbrewing.com/pics/logos/carlowLogo.jpeg,3.45,368555,14476,Microbrewery,Bagenalstown,Carlow,01/01/1996,,,https://www.carlowbrewing.com/,,102,1.368157625,5.242424242,"Irish Dry Stout
Irish Red Ale
India Pale Ale
Export Stout
Imperial India Pale Ale
American Wheat Ale
White IPA
Red IPA
Irish Red Ale
Helles Lager
Irish Dry Stout
Imperial Stout
India Session Ale
Irish Dry Stout
American IPA
Winter Ale
American IPA
American IPA
American IPA
Export Stout
American IPA
Oatmeal Stout
Irish Dry Stout
Milk Stout
English Pale Ale
Blonde Ale
Lager
Irish Red Ale
American Red Ale
Golden Ale
Golden Ale
Extra Stout
Winter Ale
American IPA
Saison Ale
International Pale Ale
Dunkelweizen
Blonde Ale
Irish Dry Stout
American Red Ale
Witbier
Irish Dry Stout
Dark Ale
Irish Red Ale
Hefeweizen
Winter Ale
Belgian Dubbel
Lager
American IPA
American IPA
Irish Dry Stout
Fruit Beer
Irish Red Ale
Extra Stout
Amber Lager
Stout Other
Pale Lager
English India Pale Ale
American IPA
Irish Dry Stout
Rye Beer
Lambic Kriek
Blonde Ale
India Pale Ale
Saison Ale
Porter
Sour Ale
English India Pale Ale
International Pale Ale
American Pale Ale
English Bitter
Irish Red Ale
Irish Red Ale
Irish Dry Stout
Witbier
Red IPA
International IPA
Pale Lager
American IPA
India Session Ale
Irish Dry Stout
International IPA
Double IPA
New England IPA
Irish Dry Stout
American IPA
Double IPA
New England IPA
American IPA
International Pale Ale
Session IPA
Extra Stout
Pale Lager
Winter Ale
Wheat Beer
New England IPA
American IPA
American Pale Ale
Irish Dry Stout
Helles Lager
Session IPA
White IPA",1,,,,,,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,1996-1-1,2025-01-25,1,,,,,,Yes,,,,44,,37,25.46,,,No,Yes,,,,,,1,Bagenalstown,-6.9558676,52.7031106,52.70311067,
Clandonagh Craft Beers,clandonagh,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Microbrewery,Rathdowney,Laois,01/01/2022,,,,,,,,,1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,2022-1-1,2025-01-26,,,,,,,Yes,,,,,,,0.26,,,,,,,,,,,Rathdowney,-7.589046,52.856444,52.85644476,
Connemara Brewing Company,connemara,https://irishcraftbrewing.com/pics/logos/connemaraLogo.jpeg,3.52,1683,1169,Microbrewery,Connemara,Galway,01/01/2020,,,https://www.connemarabrewery.com/,,4,0.1,4.15,"India Session Ale
Lager
Pale Ale
Dark Lager",1,,,,,,ROI,,,,,,,,,,,,,,,Independent Brewing Company of Ireland,,1,1,,,,2020-1-1,2025-01-27,,,,,,,Yes,,,,4,,696,1.44,,,,,,,,,,0,Connemara,-9.8875419,53.5383782,53.5383783,
Costello's,costellos,https://irishcraftbrewing.com/pics/logos/costellosLogo.jpeg,3.5,1343,181,Microbrewery,Blanchfieldsisland,Kilkenny,01/01/2014,,,http://www.costellosbrewco.ie,,7,0.942337519,4.8,"Irish Red Ale
American Pale Ale
American IPA
Munich Dunkel Lager
International Pale Ale
Porter
Euro Lager",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,2014-1-1,2025-01-28,,,1,,,,Yes,,,,8,,46,7.44,,,,,,,,,,0,Blanchfieldsisland,-7.228969828,52.65442997,52.65442997,
Cotton Ball Brewing Company,cottonball,https://irishcraftbrewing.com/pics/logos/cottonballLogo.jpeg,3.49,3344,396,Microbrewery,Mayfield,Cork,01/01/2013,,,https://www.cottonball.ie/,,21,0.773673981,5.057142857,"Pale Lager
American Pale Ale
Pilsner
Irish Dry Stout
India Pale Ale
Pilsner
Amber Lager
American Pale Ale
Amber Ale
International Pale Ale
Fruit Beer
Amber Lager
International Pale Ale
Gluten Free India Pale Ale
American Light Lager
Cream Ale
New England IPA
Irish Red Ale
American Light Lager
Irish Red Ale
American IPA",1,,,,,Barry & Fitzwilliam,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,2013-1-1,2025-01-29,,,,,,,Yes,,,,16,,47,8.44,,,,Yes,,,,,,0,Mayfield,-8.4356118,51.9142651,51.91426518,
Crew Brewing Company,crew,https://irishcraftbrewing.com/pics/logos/crewLogo.jpeg,3.94,981,681,Microbrewery,35 Thomas Street,Limerick,01/01/2020,,,https://www.crewbrewing.ie,,40,0.734627718,5.18875,"American IPA
International Pale Ale
Porter
Gose
American IPA
Rauchbier
Milk Stout
International Pale Ale
American Pale Ale
American Brown Ale
American IPA
Gose
New Zealand Pale Ale
American Pale Ale
New Zealand Pale Ale
International IPA
Gose
Milk Stout
Berliner Weisse
Fruited Sour
American Pale Ale
Hefeweizen
American Amber Ale
American IPA
American Pale Ale
American IPA
Coffee Porter
New Zealand Pale Ale
American IPA
Berliner Weisse
New England Pale Ale
Fruited Sour
Double IPA
New England IPA
American Pale Ale
American IPA
New England Pale Ale
New England IPA
Pilsner
Sour Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,2020-1-1,2025-01-30,,,,,,,Yes,,,,21,,,1.44,,,,,,,,,,0,35 Thomas Street,-8.623697,52.661914,52.66191486,
Dead Centre Brewing,deadcentre,https://irishcraftbrewing.com/pics/logos/deadcentreLogo.jpeg,3.77,6334,1427,Microbrewery,Athlone,Westmeath,01/01/2017,,,http://deadcentrebrewing.com/,,67,1.889215747,6.041791045,"American IPA
International Pale Ale
Session Pale Ale
American Pale Ale
New England IPA
American IPA
Porter
Milk Stout
American Amber Ale
Double IPA
Festbier
Hefeweizen
Schwartzbier
Munich Dunkel Lager
Blonde Ale
Pilsner
Cream Ale
Pale Lager
Wheat Beer
Spiced Beer
Brut IPA
Dark Ale
Weizenbock
New England IPA
Sweet Stout
India Pale Lager
Festbier
Fruit Beer
American IPA
Imperial Russian Stout
New England IPA
Blonde Ale
New England IPA
New England DIPA
Pastry Stout
New England DIPA
American Pale Ale
American IPA
Hard Seltzer
Double IPA
Belgian Strong Dark Ale
Cream Ale
Session IPA
English Bitter
Double IPA
Oatmeal Stout
American Light Lager
Milkshake IPA
Session IPA
American Pale Ale
Radler
Black Cascadian Ale
American IPA
Belgian Tripel
New England IPA
Double Brown Ale
Imperial Stout
Imperial Stout
Imperial Stout
Wheat Beer
Sour Ale
Herbed Beer
Red IPA
Irish Dry Stout
American Brown Ale
Irish Red Ale
Stout Other",1,Yes,,,,Four Corners,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,2017-1-1,2025-01-31,1,,,,,,Yes,,,,48,,50,4.44,,,Restaurant License,,,,,,,1,Athlone,-7.947295,53.431217,53.43121779,
Deirge Brewery,deirge,https://irishcraftbrewing.com/pics/logos/deirgeLogo.jpeg,3.9,3,38,Microbrewery,"Castlederg, Co Tyrone",Tyrone,02/03/2023,,,https://www.facebook.com/p/Deirge-Brewery-100087254918334/,,,,,,1,,,,,,UK,,,,,,,,,,,,,,,,,3,2,,,,2023-3-2,2025-02-01,1,,,,,,Yes,,,,,,,0.08,,,,,,,,,,,"Castlederg, Co Tyrone",-7.592368198,54.72489572,54.72489572,
Dew Drop Brewing Company,dewdrop,https://irishcraftbrewing.com/pics/logos/dewdropLogo.jpeg,3.55,635,85,Microbrewery,Kill,Kildare,01/01/2014,,,https://dewdropinn.ie/brewhouse/,,14,0.670779438,4.892857143,"International Pale Ale
Red Ale
American Pale Wheat Ale
American Brown Ale
Helles Lager
Vienna Lager
American Amber Ale
Hefeweizen
Oatmeal Stout
Blonde Ale
International Pale Ale
Winter Warmer
American IPA
Munich Dunkel Lager",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,2014-1-1,2025-02-02,,,,,,,Yes,,,,14,,164,7.44,,,,,,,,,,0,Kill,-6.538754,53.252795,53.25279565,
Diageo,diageo,https://irishcraftbrewing.com/pics/logos/diageoLogo.jpeg,3.52,2869622,117367,Macrobrewery,St James Brewery,Dublin,01/01/1997,,,,,,,,,1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,1997-1-1,2025-02-03,,,,,,,Yes,,,,,,600,24.45,,,,,,,,,,,St James Brewery,-6.287128,53.343315,53.34331563,
Dick Mack's Brewhouse,dickmacks,https://irishcraftbrewing.com/pics/logos/dickmacksLogo.jpeg,3.63,7230,857,Microbrewery,Dingle,Kerry,01/01/2013,,,https://www.dickmackspub.com/,,15,1.741427985,5.84,"India Session Ale
Irish Dry Stout
Amber Lager
Amber Lager
Märzen
American IPA
American Pale Ale
Imperial Stout
Coffee Stout
Honey Beer
Irish Dry Stout
Brown Ale
Saison Ale
Red Ale
Honey Beer",1,,,,,,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,2013-1-1,2025-02-04,,,1,,,,Yes,,,,13,,163,8.44,,,Pub License,,,,,,,1,Dingle,-10.2640135,52.1409389,52.14093891,
Dog Paw Brewing,dogpaw,https://irishcraftbrewing.com/pics/logos/dogpawLogo.jpeg,4.14,224,38,Microbrewery,Dublin,Dublin,01/03/2016,,,https://untappd.com/DogPawBrewing,,54,1.44227502,5.938888889,"Black Cascadian Ale
Belgian Blonde
American Pale Ale
International IPA
International Pale Ale
International IPA
Porter
Porter
Rye IPA
Milk Stout
American IPA
International IPA
Oatmeal Stout
International Pale Ale
International Pale Ale
International IPA
Fruit Beer
International Pale Ale
International IPA
Stout Other
American IPA
Black Cascadian Ale
American IPA
Stout Other
Stout Other
Milk Stout
New England Pale Ale
Stout Other
New England IPA
New England Pale Ale
American IPA
Pastry Stout
Imperial Oatmeal Stout
Munich Dunkel Lager
International IPA
New England IPA
Black Cascadian Ale
American IPA
Mild Ale
New England IPA
American Brown Ale
American IPA
American IPA
New England IPA
Milk Stout
Imperial Russian Stout
New England IPA
Farmhouse Ale
Imperial Russian Stout
Session IPA
American IPA
Imperial Russian Stout
New England IPA
Porter",1,,,,,,ROI,,,,,,,,,,,,,,,,,3,1,,,,2016-3-1,2025-02-05,,,,,,,Yes,,,,23,,,5.87,,,,,,,,,,0,Dublin,-6.2603097,53.349904,53.34990463,
Donegal Brewing Company,donegal,https://irishcraftbrewing.com/pics/logos/donegalLogo.jpeg,3.45,3103,364,Microbrewery,Ballyshannon,Donegal,01/12/2012,,,https://donegalbrewingco.ie/,,28,0.451921237,4.714285714,"Blonde Ale
American Red Ale
English Pale Ale
Porter
American IPA
American Pale Ale
Coffee Stout
International Pale Ale
Irish Red Ale
Irish Dry Stout
American Pale Ale
English India Pale Ale
Porter
Milk Stout
Saison Ale
Rye Pale Ale
Belgian Pale Ale
Black Cascadian Ale
American IPA
Dark Ale
English India Pale Ale
English Mild Ale
International Pale Ale
International IPA
Stout Other
International Pale Ale
Hefeweizen
International Pale Ale",1,,,,,,ROI,,,,,,,,,,,,,No,,,,12,1,,,,2012-12-1,2025-02-06,1,,,,,,Yes,,,,22,,54,8.53,,,No,,,,,,,2,Ballyshannon,-8.1920416,54.5029882,54.50298828,
Dopey Dick,dopeydick,https://irishcraftbrewing.com/pics/logos/dopeydickLogo.jpeg,3.53,713,131,Microbrewery,Skeoge Industrial Estate,Londonderry,01/01/2016,,,https://www.facebook.com/dopeydickbrewingco/,,5,0.613731755,4.45,"International Pale Ale
Lager
Amber Ale
Double Red Ale
Fruit Beer",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,,,,2016-1-1,2025-02-07,,,,,,,Yes,,,,5,,56,5.44,,,,,,,,,,0,Skeoge Industrial Estate,-7.322846,55.037966,55.03796673,
Dungarvan Brewing Company,dungarvan,https://irishcraftbrewing.com/pics/logos/dungarvanLogo.jpeg,3.46,11052,987,Microbrewery,Dungarvan,Waterford,01/04/2010,,,http://dungarvanbrewingcompany.com/,,41,1.663252914,5.220512821,"Blonde Ale
Irish Red Ale
Irish Dry Stout
American Pale Ale
Oatmeal Stout
Rye Pale Ale
English Bitter
Saison Ale
English Barleywine
Witbier
Witbier
Rye Pale Ale
Saison Ale
Irish Dry Stout
Blonde Ale
Dark Ale
Sour Ale
Irish Dry Stout
Stout Other
International Pale Ale
International Pale Ale
American IPA
Imperial Red Ale
Märzen
Stout Other
Witbier
English India Pale Ale
Irish Red Ale
Stout Other
International Pale Ale
Irish Red Ale
Imperial Stout
Irish Dry Stout
American Pale Ale
International Pale Ale
Dark Ale
Munich Dunkel Lager
Black Cascadian Ale
Milk Stout
American Pale Ale
Pumpkin Beer",1,Yes,,,,Four Corners,ROI,,,,,,,,,,,,,Yes,,,,4,1,,,,2010-4-1,2025-02-08,1,,,,,,Yes,,,,24,,61,11.2,,,No,Yes,,,,,,0,Dungarvan,-7.6203627,52.0936763,52.09367638,
Eight Degrees Brewing,eightdegrees,https://irishcraftbrewing.com/pics/logos/eightdegreesLogo.jpeg,3.58,77066,6731,Microbrewery,Mitchelstown,Cork,01/01/2010,,,https://www.eightdegrees.ie/,,94,1.915818592,6.079361702,"American Pale Ale
Irish Red Ale
American IPA
American IPA
Irish Dry Stout
Pilsner
American Red Ale
American IPA
International Pale Ale
American IPA
Imperial Red Ale
Sour Ale
Imperial India Pale Ale
India Session Ale
American IPA
India Pale Lager
Black Cascadian Ale
India Session Ale
International Pale Ale
American IPA
American IPA
Imperial India Pale Ale
Smoked Beer
Rye Pale Ale
International Pale Ale
American Pale Ale
American IPA
Imperial Russian Stout
Saison Ale
Rye Pale Ale
Rye Pale Ale
Witbier
Berliner Weisse
Barleywine
Export Stout
American IPA
American IPA
Saison Ale
Imperial Stout
Coffee Stout
American Amber Ale
Stout Other
Barleywine
Kolsch Lager
American IPA
Sour Ale
Belgian Dubbel
American IPA
Black Cascadian Ale
International Pale Ale
Stout Other
Scotch Ale
Witbier
Saison Ale
Sour Ale
Witbier
American IPA
Belgian Pale Ale
Imperial Stout
New England IPA
Irish Red Ale
German Pilsner
India Session Ale
International Pale Ale
Berliner Weisse
English India Pale Ale
International IPA
American IPA
Irish Dry Stout
Red IPA
Imperial Stout
Saison Ale
American IPA
Australian Pale Ale
Vienna Lager
Irish Dry Stout
Belgian IPA
India Pale Lager
American Pale Ale
Brut IPA
Kellerbier
Imperial Double Stout
Double IPA
Black Cascadian Ale
International Pale Ale
Pilsner
Belgian IPA
Smoked Beer
Irish Dry Stout
Barleywine
India Pale Lager
International Pale Ale
New England IPA
Belgian Tripel",1,Was - Bought Out,,,,,ROI,10,,,,,,,,,,,,,,,,1,1,,,,2010-1-1,2025-02-09,1,,,,,,Yes,,,,43,,62,11.45,,,,Yes,,,,,,0,Mitchelstown,-8.2698863,52.2662127,52.26621278,
